phase,scenario,example,error_type,note
Semantic,Dung bien chua khai bao trong print,"begin { print(x); } end",SemanticError,"Expression Var(x) khong tim thay khai bao."
Semantic,Dung bien chua khai bao trong input,"begin { input(x); } end",SemanticError,"Input yeu cau bien da duoc khai bao."
Semantic,Dung bien chua khai bao trong expression,"begin { int y = x + 1; } end",SemanticError,"Bien x duoc dung trong bieu thuc nhung chua khai bao."
Semantic,Gan sai kieu int nhan bool,"begin { int x; x = true; } end",SemanticError,"Khong the assign bool vao bien int."
Semantic,Gan sai kieu bool nhan int,"begin { bool flag; flag = 1; } end",SemanticError,"Khong the assign int vao bien bool."
Semantic,Gan sai kieu string nhan int,"begin { string s; s = 1; } end",SemanticError,"Khong the assign int vao bien string."
Semantic,Khai bao co initializer sai kieu,"begin { int x = true; } end",SemanticError,"Initializer phai gan duoc vao kieu khai bao."
Semantic,Auto khong co initializer,"begin { auto x; } end",SemanticError,"Bien auto phai co gia tri khoi tao de suy luan kieu."
Semantic,Dieu kien if khong phai bool,"begin { int x = 1; if (x) then { print(x); } } end",SemanticError,"Condition cua if phai co kieu bool."
Semantic,Dieu kien elseif khong phai bool,"begin { int x = 1; if (false) then { print(0); } elseif (x) { print(1); } } end",SemanticError,"Condition cua elseif phai co kieu bool."
Semantic,Dieu kien while khong phai bool,"begin { int x = 1; do { print(x); } while (x); } end",SemanticError,"Condition cua do-while phai co kieu bool."
Semantic,Bien vong for khong phai int,"begin { float i; for (i = 0 to 3 step 1) { print(i); } } end",SemanticError,"Bien dieu khien for phai co kieu int."
Semantic,Start cua for khong phai int,"begin { int i; for (i = 0.5 to 3 step 1) { print(i); } } end",SemanticError,"Start/end/step cua for phai la int."
Semantic,End cua for khong phai int,"begin { int i; for (i = 0 to 3.5 step 1) { print(i); } } end",SemanticError,"Start/end/step cua for phai la int."
Semantic,Step cua for khong phai int,"begin { int i; for (i = 0 to 3 step 1.5) { print(i); } } end",SemanticError,"Start/end/step cua for phai la int."
Semantic,Step cua for bang 0,"begin { int i; for (i = 0 to 3 step 0) { print(i); } } end",SemanticError,"Semantic analyzer chan step = 0 de tranh vong lap vo han."
Semantic,Toan tu so hoc dung voi bool,"begin { print(true + 1); } end",SemanticError,"Cac toan tu + - * / yeu cau operand numeric."
Semantic,Toan tu so hoc dung voi string,"begin { print(""a"" + 1); } end",SemanticError,"Cac toan tu + - * / yeu cau operand numeric."
Semantic,Toan tu so sanh dung voi string,"begin { print(""a"" > ""b""); } end",SemanticError,"Cac toan tu > >= < <= yeu cau operand numeric."
Semantic,So sanh bang giua kieu khong tuong thich,"begin { print(""a"" == true); } end",SemanticError,"Toan tu == chi chap nhan hai kieu giong nhau hoac hai kieu numeric."
Semantic,Toan tu logic AND dung voi non-bool,"begin { print(1 && true); } end",SemanticError,"Toan tu && yeu cau ca hai operand la bool."
Semantic,Toan tu logic OR dung voi non-bool,"begin { print(false || 1); } end",SemanticError,"Toan tu || yeu cau ca hai operand la bool."
Semantic,Toan tu NOT dung voi non-bool,"begin { print(!1); } end",SemanticError,"Toan tu ! chi chap nhan operand bool."
Semantic,Unary minus dung voi string,"begin { print(-""abc""); } end",SemanticError,"Unary - chi chap nhan int hoac float."
Semantic,Unary minus dung voi bool,"begin { print(-true); } end",SemanticError,"Unary - chi chap nhan int hoac float."
